#	number
#	pound
(F)	final
AN	anorexia nervosa
AN	aneurysm
AN22	1, 5. 5-trimethylbarbituric acid
AN23	5. 5-diethyl-1-methylbarbituric acid
ANA	antinuclear antibody
ANA SWAB	anaerobic swab
ANAD	anorexia nervosa and associated disorders
ANC	absolute neutriophil count
ANC	ante natal clinic
ANCA	antineutrophil cytoplasmic antibody
ANCOVA	analysis of covariance
AND	anterior nasal discharge
ANDA	Abbreviated New Drug Application
ANE	angioneurotic edema
ANF	antinuclear factor
ANF	atrial natriuretic factor
ANG	angiogram
ANISO	anisocytosis
ANLL	acute nonlymphoblastic leukemia
ANOVA	analysis of variance
ANP	atrial natriuretic peptide (anaritide acetate)
ANS	answer
ANS	autonomic nervous system
ANS	arterionephrosclerosis
ANT	anterior
ANTI A:A	anti blood group A antigloubulin test
ANTU	alpha naphthylthiourea
ANUG	acute necrotizing ulcerative gingivitis
ANX	anxiety
AO	absorption ointment
AO	anterior oblique
AO	aorta
AO	aortic opening
AO	plate, screw(orthopedics)
AO	right ear
AOAP	as often as possible
AOB	alcohol on breath
AOC	anode opening contraction
AOC	antacid of choice
AOC	area of concern
AOCD	anemia of chronic disease
AOD	alleged onset date
AOD	arterial occlusive disease
AODA	alcohol and other drug abuse
AODM	adult onset diabetes mellitus
AOM	acute otitis media
AOM	alternatives of management
AONAD	alert, oriented, and no acute distress
AOO	atrial asynchronous (competitive, fixed-rate) [pace-maker]
AOP	aortic pressure
AOS	ambulatory outpatient surgery
AOS	antibiotic order sheet
AOS	anodol opening sound
AOSC	acute obstructive suppurative cholangitis
AOSD	adult-onset Still's disease
AOTA	American Occupational Therapy Association
AP	acute pancreatitis
AP	alkaline phosphatase
AP	angina pectoris
AP	antepartum
AP	antipernicious anemia factor
AP	anterior pituitary
AP	anterior-posterior (x-ray)
AP	arterial pressure
AP	apical pulse
AP	appendectomy
AP	appendicitis
AP	atrial pacing
AP	attending physician
AP Repai	anterior posterior repair
AP&L	anteroposterior and lateral
APA	American Psychiatric Association
APA	Antiblood platelet antibody
APA	American Physiotherapy Association
APACHE	Acute physiology and Chronic Health Evaluation
APAD	anterior-posterior abdominal diameter
APAF	antipernicious anemia factor
APAP	acetaminophen (N acetyl-para-aminophenol)
APB	abductor pollicis brevis
APB	atrial premature beat
APC	acetylsalicylic acid, phenacetin and caffeine
APC	adenoidal-pharyngeal-conjunctival
APC	adenomatous polyposis of the colon and rectum
APC	antigen-presenting cell
APC	aspirin, phenacetin and caffeine
APC	atrial premature contraction
APC	autologous packed cells
APC-viru	adenoidal-pharyngeal-conjunctival virus
APCD	adult polycystic disease
APD	action potential duration
APD	afferent pupillary defect
APD	pamidronate disodium (aminohydroxypropylidene diphosphate)
APD	anterior-posterior diameter
APD	atrial premature depolarization
APD	automated peritoneal dialysis
APDC	Anxiety and Panic Disorder Clinic
APE	absolute prediction error
APE	acute psychotic episode
APE	acute pulmonary edema
APE	anterior pituitary extract
APF	animal protein factor
APG	Apgar (score)
APGAR	appearance(color), pulse(heart rate) grimace(reflex irritability), activity(muscle tone) and respiration(score reflecting condition of newborn)
APGN	acute post streptococcal glomerulonephritis
APH	adult psychiatric hospital
APH	alcohol-positive history
APH	antepartum hemorrhage
APHA	American Public Health Association
APIC	Association for Practitioners in Infection Control
APIVR	artificial pacemaker-induced ventricular rhythm
APKD	adult polycystic kidney disease
APKD	adult-onset polycystic kidney disease
APL	abductor pollicis longus
APL	accelerated painless labor
APL	acute promyelocytic leukemia
APL	anterior pituitary-like(hormone)
APM	anterior papillary muscle
APMPPE	acute posterior multifocal placoid pigment epitheliopathy
APN	acute pyelonephritis
APO	adverse patient occurrence
APO	apolipoprotein A-1
APO	doxorubicin(adriamycin), prednisone, vincristine(oncovin)
APP	adenine phosphate
APPG	aqueous procaine penicillin G (dangerous terminology for intramuscular use only write as penicillin G procaine)
APPY	appendectomy
APR	abdominoperineal resection
APR	anterior pituitary reaction
APRV	airway pressure release ventilation
APS	Acute Physiology Scoring (system)
APS	adult protective services
APS	adult psychiatric service
APSD	Alzheimer's presenile dementia
APSD	aortic pulmonary septal defect
APSGN	acute post streptococcal glomerulonephritis
APSP	assisted peak systolic pressure
APT	acute pharyngeal tonsillitis
APTT	activated partial thromboplastin time (laboratory/ coagulation)
APU	ambulatory procedure unit
APU	antepartum unit
APUD	amine precursor uptake and decarboxylation
APVC	partial anomalous pulmonary venous connection
APVR	aortic pulmonary valve replacement
APW	alum precipitated toxoid aortopulmonary window
AQ	accomplishment quotient
AR	acid resistance
AR	acoustic reflex
AR	active resistance
AR	airway resistance
AR	alcohol related
AR	aortic regurgitation
AR	aural rehabilitation
AR	artificial rupture
AR	atrophic rhinitis
AR	autorefractor
ARA	adenosine regulating agent
ARAS	ascending reticular activating system
ARBOR	arthropod-borne virus
ARBOW	artificial rupture of bag of water
ARC	abnormal retinal correspondence
ARC	AIDS related complex
ARC	American Red Cross
ARC	anomalous retinal correspondence
ARCBS	American Red Cross Blood Services
ARD	adult respiratory distress
ARD	acute respiratory disease
ARD	antibiotic removal device
ARD	antibiotic retrieval device
ARD	aphakic retinal detachment
ARDS	adult respiratory distress syndrome
ARDS	acute respiratory distress syndrome
ARE	active-resistive exercises
ARF	acute renal failure
ARF	acute respiratory failure
ARF	acute rheumatic fever
ARG	arginine
ARI	acute renal insufficiency
ARI	aldose reductase inhibitor
ARLD	alcohol related liver disease
ARM	anxiety reaction, mild
ARM	artificial rupture of membranes
ARMD	age-related macular degeneration
ARMS	amplification refractory mutation system
ARN	acute retinal necrosis
AROM	active range of motion
AROM	artificial rupture of membranes
ARP	absolute refractory period
ARP	alcohol rehabilitation program
ARS	antirabies serum
ARTIC	articulation
ARU	alcohol rehabilitation unit
ARV	AIDS related virus
ARVD	arrythmogenic right ventricular dysplasia
ARW	Accredited Rehabilitation Worker
ARWY	airway
AS	activated sleep
AS	anal sphincter
AS	ankylosing spondylitis
AS	anterior synechia
AS	aortic stenosis
AS	arsenic
AS	atherosclerosis
AS	doctor called through answering service
AS	atropine sulfate
AS	autosuture
AS	left ear(Latin: auris sinistro)
AS	arteriosclerosis
AS/AI	aortic stenosis/ aortic insufficiency
ASA	acetylsalicylic acid (aspirin)
ASA	argininousuccinate aciduria
ASA Ⅰ	Healthy patient with localized pathological process
ASA Ⅱ	A patient with mild to moderate systemic disease
ASA Ⅳ	A patient with incapacitating systemic disease
ASAA	acquired severe aplastic anemia
ASAP	as soon as possible
ASAT	aspartate asparateaminotransferase(AST, GOT,SGOT)
ASB	anesthesia standby
ASB	asymptomatic bacteriuria
ASC	altered state of consciousness
ASC	ambulatory surgery center
ASC	anterior subcapsular cataract
ASC	antimony sulfur colloid
ASC	ascorbic acid
ASCVD	arteriosclerotic cardiovascular disease
ASD	atrial septal defect
ASD	aldosterone secretion defect
ASD	anterior sagittal diameter
ASD	arthroscopic subacromial debridment
ASD Ⅰ	atrial septal defect, primum
ASD Ⅱ	atrial septal defect, secundum
ASDH	acute subdural hematoma
ASE	acute stress erosion
ASH	asymmetric septal hypertrophy
ASHD	arteriosclerotic heart disease
ASI	Anxiety Status Inventory
ASI	aortic stenoinsufficiency
ASIS	anterior superior iliac spine
ASK	antistreptokinase
ASL	antistreptolysin(titer)
ASLE	acute systematic lupus erythematosus
ASLO	antistreptolysin-O
ASLV	avian sarcoma and leukosis virus (Rous virus)
ASM	atrial systolic murmur
ASM	astigmatism myopic
ASMA	anti-smooth muscle antibody
ASMI	anteroseptal myocardial infarction
ASO	antistreptolysin-O titer
ASO	arterioseclerosis obliterans
ASO	automatic stop order
ASOT	antistreptolysin-O titer
ASP	acute suppurative parotitis
ASP	acute symmetric polyarthritits
ASP	asparginase
ASP	aspartic acid
ASPD	anterior superior pancreatico duodenal artery
ASPVD	arteriosclerotic peripheral vascular disease
ASR	automatic speech recognition
ASR	Achilles reflex
ASS	anterior superior supine
ASS	Adams-stokes syndrome
AST	After skin test
AST	Aphasia Screening Test
AST	aspartate transaminase (SGOT)
AST	astemizole
ASU	acute stroke unit
ASU	ambulatory surgical unit
ASV	antisnake venom
ASVD	arteriosclerotic vessel disease
ASVR	anomalies of systemic venous return
ASYM	asymmetric (al)
AT	activity therapy (therapist)
AT	annulus tympanicus
AT	antithrombin
AT	aortic triangle
AT	applanation tonometry
AT	atraumatic
AT	autogenic training
AT	axial tomogram
AT	axillar temperature
AT Ⅲ FU	antithrombin Ⅲ functional
AT1	atropin eye solution
AT10	anti-tetany dihydrotachysterol
AT2	atropin eye ointment
ATB	antibiotic
ATC	aerosol treatment chamber
ATC	alcoholism therapy classes
ATC	around the clock
ATC	Arthritis Treatment Center
ATD	antithyroid drug(s)
ATD	asphyxiating thoracic dystrophy
ATD	autoimmune thyroid disease
ATE	adipose tissue extraction
ATG	antithymocyte globulin
ATHR	angina threshold heart rate
ATI	Abdominal Trauma Index
ATI	antitumor immunity
ATIN	acute tubointerstitial nephritis
ATL	abdominal tubal ligation
ATL	Achilles tendon lengthening
ATL	adult T-cell leukemia
ATL	anterior tricuspid leaflet
ATL	atypical lymphocytes
ATLL	adult T-cell leukemia lymphoma
ATLS	advanced trauma life support
ATM	acute transverse myelitis
ATM	atmosphere
ATN	acute tubular necrosis
ATNC	atraumatic normocephalic
ATNM	autopsy staging of cancer
ATNR	asymmetrical tonic neck reflex
ATP	addiction treatment program
ATP	adenosine triphosphate
ATP	anterior tonsillar pillar
ATP	autoimmune thrombocytopenia purpura
ATP	atmospheric temperature pressure
ATPS	ambient temperature & pressure, saturated with water vapor
ATPase	adenosine triphosphatase
ATR	Achilles tendon reflex
ATR	arm tonus reaction
ATR	atrial
ATR	atropine
ATRO	atropine
ATS	antitetanic serum(tetanus antitoxin)
ATS	anxiety tension state
ATSO₄	atropine sulfate
ATT	arginine tolerance test
ATU	alcohol treatment unit
AU	allergenic units
AU	antitoxin unit
AU	both ears (Latin: aures unitas)
AUB	abnormal uterine bleeding
AUC	area under the curve
AUCt	area under the curve to last time point
AUDCOMP	auditory comprehension
AUGIB	acute upper gastrointestinal bleeding
AUL	acute undifferentiated leukemia
AUL	augmented unipolar left (arm)
AUPBD	anomalous union of pancreaticobiliary duct
AUR	acute urinary retention
AUS	acute urethral syndrome
AUTO SP	automatic speech
AV	adenoid vegetations
AV	angular vision
AV	aortic valve
AV	anteverted
AV	arteriovenous
AV	atrioventricular
AV	auditory visual
AV	auriculoventricular
AVA	aortic valve atresia
AVA	arteriovenous anastomosis
AVB	atrioventricular block
AVC	automatic volume control
AVC	apparent volume of distribution
AVD	aortic valve disease
AVDO2	arteriovenous oxygen difference
AVDP	asparginase, vincristine, daunorubicin, and prednisone
AVDP	avoirdupois
AVF(=avf	arteriovenous fistula
AVF(=avf	anteverted flexion
AVF(=avf	augmented vector of left foot
AVGs	ambulatory visit groups
AVH	atrioventricular hypertrophy
AVH	acute viral hepatitis
AVI	air velocity index
AVJR	atrioventricular junctional rhythm
AVM	arteriovenous malformation
AVN	arteriovenous nicking
AVN	atrioventricular node
AVN	avascular necrosis
AVNRT	atrioventricular node recovery time
AVNRT	atrioventricular nodal re-entry tachycardia
AVP	antiviral protein
AVP	aortic valvoplasty
AVP	arginine vasopressin
AVR	aortic valve replacement (op/cardiac)
AVR	average voiding rate
AVRT	atrioventricular reciprocating tachycardia
AVS	atriovenous shunt
AVS	auto visual system
AVSS	afebrile, vital signs stable
AVT	atrioventricular tachycardia
AVT	atypical ventricular tachycardia
AW	abdominal wall
AW	abnormal wave
AW	airway
AWA	alcohol withdrawal assessment
AWA	as well as
AWB	autologous whole blood
AWD	alive with disease
AWDW	assault with a deadly weapon
AWI	anterior wall infarct
AWMI	anterior wall myocardial infarction
AWO	airway obstruction
AWOL	absent without leave
AWR	airway resistance
AWU	alcohol withdrawal unit
AX or X 	axis of cylindric lens
AXB	axillary block
AXC	aortic cross clamp
AXR	abdomen X-ray
AXT	alternating exotropia
AYF	anti-yeast factor
AYV	aster yellow virus
AZ	azotobacter
AZA-CR	azacitidine
AZT	Aschheim Zondek test for pregnancy
Ab	Alabamine
Ab	abortion
Ab	antibiotic
Ab	antibody
AbAp	antibody-against-panel(assay)
Abd	abduction
Abd	abdomen(abdominal)
Abd Hyst	abdominal hysterectomy
Abu	alpha-aminobutyric acid
AcCoA	acetyl-coenzyme A
Ach	acetylcholine
Ache	acetylcholinesterase
ActEx	active exercise
Ad	adipocyte
Ad	adrenal
Ad-OAP	Adriamycin, vincristine, cytarabine and prednisone
Addl	additional
Ade	adequate
Aer M	aerosol mask
Aer T	aerosol tent
Afeb	afebrile
Ag	silver
Ag	argentum
Ag	antigen
Ag-Ab	antigen-antibody(complex)
AgNO₃	silver nitrate
Alb	albumin
Alb	albuterol
Aldost	aldosterone
Am	ametropia
Am	amnion
Ambu	artificial mandatory breathing unit
Amino-TP	aminofusin total parenteral nutritio
Amk	amikan
Amm Hg	ammoniated mercury
Amm N or	ammonia nitrogen
Amoxa	amoxicilline
An	anode
An	anisometropia
Anti bx	antibiotic
Appe	appendicitis
Ar	argon
Aronamin	aronamin gold
Art T	art therapy
AsH	astigmatism, hypermetropic
Astigm	astigmatism
At	astatine
At Fib	atrial fibrillation
Au	gold
Ausc	auscultation
Avoc	avocation
A₁	aortic first heart sound
A₂	aortic second heart sound
AⅡ	angiotensin Ⅱ
B	bacillus
B	bands
B	bath
B	behavior
B	bilateral
B	black
B	bloody
B	born
B	both
B	botulism (Vaccine B is botulism toxoid)
B	brother
B	brucella (on bacteriology reports)
B	buccal
B Bx	breast biopsy
B cat	Branhamella catarrhalis
B cell	large lymphocyte
B frag	bacillus fragilis
B&A	brisk and active
B&B	bowel and bladder
B&C	bed and chair
B&C	biopsy and curettage (operation/gynecology)
B&C	board and care
B&C	breathed and cried
B&O	belladonna & opium (suppositories)
B&S glan	Bartholin and Skene glands
B-CAVe	bleomycin, lomustine, doxorubicin and vinblastine
B-DOPA	bleomycin, dacarbazine, vincristine(Oncovin), prednisone and doxorubicin(Adriamycin)
B-G	Bender Gestalt (test)
B-GALACT	beta galactosidase
B-HEXOS-	beta hexosaminidase A leukocytes
B-L-D	breakfast, lunch and dinner
B/B	backward bending
B/C	because
B/C	blood urea nitrogen/creatinine ratio
B/F	bound-to-free ratio
B1	thiamine
B12	cyanocobalamin
B194
B2	riboflavin
B283	n-pheny phenacrine
B3	nicotinic acid
B4	before
B5	pantothenic acid
B55
B6	pyridoxine
B7	biotin
B8	adenosine phosphate
B>A	bone greater than air
BA	backache
BA	bacterial agglutination
BA	basilar artery
BA	benzyl alcohol
BA	bilateral asymmetric
BA	bile acid
BA	biliary atresia
BA	blood alcohol
BA	blood augar (culture reports)
BA	bone age
BA	boric acid
BA	bovine albumin
BA	brachial artery
BA	broken appointment
BA	bronchial asthma
BA	bronchoalveolar
BAA	bronchial arch anomaly
BAB	blood agar base
BAC	bacterial antigen complex
BAC	benzalkonium chloride
BAC	blood alcohol concentration
BAC	bronchial arch cyst
BAC	buccoaxiocervical
BAC	butalbital, aspirin and caffeine
BACI	bovine anticryptosporidium immunoglobulin
BACON	bleomycin, doxorubicin, lomustine, vincristine, and mechlorethamine
BACOP	bleomycin, Adriamycin, cyclophosphamide, vincristine, and prednisone
BACT	base activated clotting time
BAE	bronchial artery embolization
BAEP	brain stem auditory evoked potential
BAERs	brain stem auditory evoked responses
BAF	B lymphocyte activating factor
BAG	brachial arteriography
BAG	bronchial arteriography
BAG	buccoaxiogingival retrograde
BAI	basilar artery insufficiency
BAI	bronchial arterial infusion
BAIB	β-aminoisobutylic acid
BAL	balance
BAL	blood alcohol level
BAL	bronchoalveolar lavage
BALF	bronchoalveolar lavage fluid
BALL, B-	B-cell acute lymphoblastic leukemia
BALT	bronchial associated lymphoid tissue
BAND	band neutrophil(stab) (on white blood count reports)
BANF	bilateral acoustic neurofibromatosis
BANS	back, arm, neck and scalp
BAO	basal acid output
BAO	brachial artery output
BAO/MAO	ratio of basal acid output to maximal acid output
BAP	blood agar plate
BAP	brachial artery pressure
BAPA	β-aminopropionic acid
BAPC	bacampicillin
BAPG	biauricle plethysmography
BAPV	bovine alimentary papilloma virus
BAQ	brain-age quotient
BARN	bilateral acute retinal necrosis
BAS	ballon atrial septostomy
BAS	biologically active substance
BAS	boric acid solution
BASK	basket cells
BASOSTIP	basophilic stippling
BAT	Behavioral Avoidance Test
BAT	brightness acuity tester
BAT	brown adipose tissue
BAT anti	brain associated T cell antigen
BAV	bicuspid aortic valve
BAVFO	bradycardia after arteriovenous fistula occlusion
BAVP	balloon aortic valvuloplasty
BAW	bronchoalveolar washing
BAm	mean brachial artery(pressure)
BB	breakthorough bleeding
